policy,sequence,psnr,tde,fugr_psnr,fugr_tde,delta_psnr_vs_fugr,delta_tde_vs_fugr
FUGR-C,018,24.6292374452174,0.06118657812476158,24.6292374452174,0.06118657812476158,0.0,0.0
FUGR-C,020,27.370255110492813,0.03864799439907074,27.370255110492813,0.03864799439907074,0.0,0.0
FUGR-C,026,32.88681668565649,0.01961958035826683,32.88681668565649,0.01961958035826683,0.0,0.0
FUGR-C,028,33.54929112582312,0.018498504534363747,33.54929112582312,0.018498504534363747,0.0,0.0
FUGR-C,029,34.4297411967602,0.015481977723538876,34.4297411967602,0.015481977723538876,0.0,0.0
Fixed-Lambda-0.85,018,24.629376266454287,0.061190053820610046,24.6292374452174,0.06118657812476158,0.0001388212368880204,3.475695848464966e-06
Fixed-Lambda-0.85,020,27.371222975183684,0.038647912442684174,27.370255110492813,0.03864799439907074,0.0009678646908710675,-8.195638656616211e-08
Fixed-Lambda-0.85,026,32.88654789076679,0.01962398737668991,32.88681668565649,0.01961958035826683,-0.0002687948896991088,4.407018423080444e-06
Fixed-Lambda-0.85,028,33.545608001466974,0.018510563299059868,33.54929112582312,0.018498504534363747,-0.0036831243561437077,1.2058764696121216e-05
Fixed-Lambda-0.85,029,34.43046060386238,0.015486415475606918,34.4297411967602,0.015481977723538876,0.0007194071021814352,4.437752068042755e-06
Fixed-Lambda-0.95,018,24.629322352048092,0.061187732964754105,24.6292374452174,0.06118657812476158,8.490683069339866e-05,1.1548399925231934e-06
Fixed-Lambda-0.95,020,27.370630762628455,0.038647960871458054,27.370255110492813,0.03864799439907074,0.00037565213564150213,-3.3527612686157227e-08
Fixed-Lambda-0.95,026,32.886838251850264,0.019621046259999275,32.88681668565649,0.01961958035826683,2.1566193773026043e-05,1.4659017324447632e-06
Fixed-Lambda-0.95,028,33.54819593701665,0.01850251480937004,33.54929112582312,0.018498504534363747,-0.0010951888064667514,4.0102750062942505e-06
Fixed-Lambda-0.95,029,34.430127083902285,0.01548345759510994,34.4297411967602,0.015481977723538876,0.0003858871420874266,1.4798715710639954e-06
Fixed-Lambda-1.05,018,24.629115461128265,0.06118922308087349,24.6292374452174,0.06118657812476158,-0.00012198408913377534,2.644956111907959e-06
Fixed-Lambda-1.05,020,27.369828922740545,0.03865128755569458,27.370255110492813,0.03864799439907074,-0.00042618775226799244,3.293156623840332e-06
Fixed-Lambda-1.05,026,32.886686361668936,0.01962248794734478,32.88681668565649,0.01961958035826683,-0.00013032398755541408,2.907589077949524e-06
Fixed-Lambda-1.05,028,33.55025450260496,0.01849873922765255,33.54929112582312,0.018498504534363747,0.0009633767818399974,2.3469328880310059e-07
Fixed-Lambda-1.05,029,34.429210173828274,0.015484859235584736,34.4297411967602,0.015481977723538876,-0.0005310229319235305,2.8815120458602905e-06
Fixed-Lambda-1.20,018,24.628515473356902,0.06119722127914429,24.6292374452174,0.06118657812476158,-0.0007219718604964953,1.0643154382705688e-05
Fixed-Lambda-1.20,020,27.368239909426613,0.038661226630210876,27.370255110492813,0.03864799439907074,-0.002015201066200234,1.3232231140136719e-05
Fixed-Lambda-1.20,026,32.88563436649677,0.019631216302514076,32.88681668565649,0.01961958035826683,-0.0011823191597244431,1.1635944247245789e-05
Fixed-Lambda-1.20,028,33.552346891816256,0.01849946193397045,33.54929112582312,0.018498504534363747,0.003055765993138948,9.57399606704712e-07
Fixed-Lambda-1.20,029,34.426750259865344,0.015493541955947876,34.4297411967602,0.015481977723538876,-0.0029909368948537463,1.1564232409000397e-05
Fixed-ResidualAtten-t0.020-g0.95,018,24.629257581906383,0.061186689883470535,24.6292374452174,0.06118657812476158,2.0136688984706552e-05,1.1175870895385742e-07
Fixed-ResidualAtten-t0.020-g0.95,020,27.370336580531788,0.03864787891507149,27.370255110492813,0.03864799439907074,8.147003897462923e-05,-1.1548399925231934e-07
Fixed-ResidualAtten-t0.020-g0.95,026,32.88676511255464,0.019619861617684364,32.88681668565649,0.01961958035826683,-5.157310184955577e-05,2.812594175338745e-07
Fixed-ResidualAtten-t0.020-g0.95,028,33.54902012868004,0.01849924772977829,33.54929112582312,0.018498504534363747,-0.00027099714307610157,7.431954145431519e-07
Fixed-ResidualAtten-t0.020-g0.95,029,34.42983517097174,0.01548212394118309,34.4297411967602,0.015481977723538876,9.397421154488939e-05,1.4621764421463013e-07
Fixed-ResidualAtten-t0.010-g0.95,018,24.629269023880553,0.06118682026863098,24.6292374452174,0.06118657812476158,3.157866315461888e-05,2.421438694000244e-07
Fixed-ResidualAtten-t0.010-g0.95,020,27.37039182047442,0.038647834211587906,27.370255110492813,0.03864799439907074,0.00013670998160719705,-1.601874828338623e-07
Fixed-ResidualAtten-t0.010-g0.95,026,32.886742863526536,0.01962004229426384,32.88681668565649,0.01961958035826683,-7.382212995565851e-05,4.6193599700927734e-07
Fixed-ResidualAtten-t0.010-g0.95,028,33.548854044684575,0.018499739468097687,33.54929112582312,0.018498504534363747,-0.0004370811385427942,1.2349337339401245e-06
Fixed-ResidualAtten-t0.010-g0.95,029,34.429893179624614,0.015482247807085514,34.4297411967602,0.015481977723538876,0.00015198286441631126,2.7008354663848877e-07
Fixed-ResidualMedian-b0.25,018,24.62928134196327,0.06119213625788689,24.6292374452174,0.06118657812476158,4.389674587201853e-05,5.558133125305176e-06
Fixed-ResidualMedian-b0.25,020,27.37101291048198,0.03864876553416252,27.370255110492813,0.03864799439907074,0.0007577999891665854,7.711350917816162e-07
Fixed-ResidualMedian-b0.25,026,32.88611938161111,0.01962723396718502,32.88681668565649,0.01961958035826683,-0.000697304045381486,7.653608918190002e-06
Fixed-ResidualMedian-b0.25,028,33.54484066096841,0.01851835660636425,33.54929112582312,0.018498504534363747,-0.0044504648547061265,1.985207200050354e-05
Fixed-ResidualMedian-b0.25,029,34.4301149059697,0.015489350073039532,34.4297411967602,0.015481977723538876,0.0003737092095050798,7.372349500656128e-06
Fixed-ResidualClip-c1.20,018,24.62760471424299,0.06120401620864868,24.6292374452174,0.06118657812476158,-0.0016327309744070817,1.743808388710022e-05
Fixed-ResidualClip-c1.20,020,27.370101350163218,0.0386556051671505,27.370255110492813,0.03864799439907074,-0.00015376032959579788,7.6107680797576904e-06
Fixed-ResidualClip-c1.20,026,32.87967061338983,0.0196421816945076,32.88681668565649,0.01961958035826683,-0.007146072266664305,2.2601336240768433e-05
Fixed-ResidualClip-c1.20,028,33.5268849948269,0.018560372292995453,33.54929112582312,0.018498504534363747,-0.02240613099621669,6.186775863170624e-05
Fixed-ResidualClip-c1.20,029,34.42338043559069,0.015507766045629978,34.4297411967602,0.015481977723538876,-0.006360761169510454,2.57883220911026e-05
LearnedSelector-margin0.0000,018,24.628933058145737,0.06119060888886452,24.6292374452174,0.06118657812476158,-0.00030438707166169365,4.030764102935791e-06
LearnedSelector-margin0.0000,020,27.369790911832567,0.03865373507142067,27.370255110492813,0.03864799439907074,-0.00046419866024649536,5.7406723499298096e-06
LearnedSelector-margin0.0000,026,32.88676895276089,0.0196208655834198,32.88681668565649,0.01961958035826683,-4.7732895602337067e-05,1.2852251529693604e-06
LearnedSelector-margin0.0000,028,33.54935114997559,0.018499908968806267,33.54929112582312,0.018498504534363747,6.002415247507997e-05,1.4044344425201416e-06
LearnedSelector-margin0.0000,029,34.4280049632698,0.015486720018088818,34.4297411967602,0.015481977723538876,-0.001736233490397865,4.742294549942017e-06
LearnedSelector-margin0.0001,018,24.628966012705558,0.06118875741958618,24.6292374452174,0.06118657812476158,-0.0002714325118411409,2.1792948246002197e-06
LearnedSelector-margin0.0001,020,27.369866505584024,0.03865210711956024,27.370255110492813,0.03864799439907074,-0.0003886049087888921,4.112720489501953e-06
LearnedSelector-margin0.0001,026,32.88667472619902,0.019620249047875404,32.88681668565649,0.01961958035826683,-0.00014195945747275118,6.686896085739136e-07
LearnedSelector-margin0.0001,028,33.54929112582312,0.018498504534363747,33.54929112582312,0.018498504534363747,0.0,0.0
LearnedSelector-margin0.0001,029,34.42825545501851,0.015484477393329144,34.4297411967602,0.015481977723538876,-0.0014857417416891394,2.4996697902679443e-06
LearnedSelector-margin0.0005,018,24.6292374452174,0.06118657812476158,24.6292374452174,0.06118657812476158,0.0,0.0
LearnedSelector-margin0.0005,020,27.370255110492813,0.03864799439907074,27.370255110492813,0.03864799439907074,0.0,0.0
LearnedSelector-margin0.0005,026,32.88681668565649,0.01961958035826683,32.88681668565649,0.01961958035826683,0.0,0.0
LearnedSelector-margin0.0005,028,33.54929112582312,0.018498504534363747,33.54929112582312,0.018498504534363747,0.0,0.0
LearnedSelector-margin0.0005,029,34.4297411967602,0.015481977723538876,34.4297411967602,0.015481977723538876,0.0,0.0
LearnedSelector-margin0.0010,018,24.6292374452174,0.06118657812476158,24.6292374452174,0.06118657812476158,0.0,0.0
LearnedSelector-margin0.0010,020,27.370255110492813,0.03864799439907074,27.370255110492813,0.03864799439907074,0.0,0.0
LearnedSelector-margin0.0010,026,32.88681668565649,0.01961958035826683,32.88681668565649,0.01961958035826683,0.0,0.0
LearnedSelector-margin0.0010,028,33.54929112582312,0.018498504534363747,33.54929112582312,0.018498504534363747,0.0,0.0
LearnedSelector-margin0.0010,029,34.4297411967602,0.015481977723538876,34.4297411967602,0.015481977723538876,0.0,0.0
LearnedSelector-margin0.0020,018,24.6292374452174,0.06118657812476158,24.6292374452174,0.06118657812476158,0.0,0.0
LearnedSelector-margin0.0020,020,27.370255110492813,0.03864799439907074,27.370255110492813,0.03864799439907074,0.0,0.0
LearnedSelector-margin0.0020,026,32.88681668565649,0.01961958035826683,32.88681668565649,0.01961958035826683,0.0,0.0
LearnedSelector-margin0.0020,028,33.54929112582312,0.018498504534363747,33.54929112582312,0.018498504534363747,0.0,0.0
LearnedSelector-margin0.0020,029,34.4297411967602,0.015481977723538876,34.4297411967602,0.015481977723538876,0.0,0.0
TestPerFrameOracle,018,24.62938849222033,0.06118923798203468,24.6292374452174,0.06118657812476158,0.00015104700293022688,2.6598572731018066e-06
TestPerFrameOracle,020,27.371376398104474,0.03864814713597298,27.370255110492813,0.03864799439907074,0.0011212876116601933,1.5273690223693848e-07
TestPerFrameOracle,026,32.887537546562086,0.019623631611466408,32.88681668565649,0.01961958035826683,0.0007208609055950888,4.0512531995773315e-06
TestPerFrameOracle,028,33.552346891816256,0.01849946193397045,33.54929112582312,0.018498504534363747,0.003055765993138948,9.57399606704712e-07
TestPerFrameOracle,029,34.430870286328364,0.01548587903380394,34.4297411967602,0.015481977723538876,0.001129089568166819,3.9013102650642395e-06
TestPerFrameOracleNonFUGR,018,24.62938849222033,0.06118923798203468,24.6292374452174,0.06118657812476158,0.00015104700293022688,2.6598572731018066e-06
TestPerFrameOracleNonFUGR,020,27.371376398104474,0.03864814713597298,27.370255110492813,0.03864799439907074,0.0011212876116601933,1.5273690223693848e-07
TestPerFrameOracleNonFUGR,026,32.887537546562086,0.019623631611466408,32.88681668565649,0.01961958035826683,0.0007208609055950888,4.0512531995773315e-06
TestPerFrameOracleNonFUGR,028,33.552346891816256,0.01849946193397045,33.54929112582312,0.018498504534363747,0.003055765993138948,9.57399606704712e-07
TestPerFrameOracleNonFUGR,029,34.43086337841188,0.015485926531255245,34.4297411967602,0.015481977723538876,0.0011221816516808758,3.948807716369629e-06
