tag,max_alpha,hp_sigma,detail_strength,method,psnr,ssim,sharpness,tde
a025_s12_h16,0.25,1.6,1.2,FUGR-no-temporal,28.279471,0.787525,0.00140232,0.03425031
a030_s10_h16,0.3,1.6,1.0,FUGR-no-temporal,28.279471,0.787525,0.00140232,0.03425031
a030_s12_h16,0.3,1.6,1.2,FUGR-no-temporal,28.279239,0.787516,0.00140897,0.03424906
a025_s10_h16,0.25,1.6,1.0,FUGR-no-temporal,28.279072,0.787523,0.00139807,0.03425317
a020_s12_h16,0.2,1.6,1.2,FUGR-no-temporal,28.278927,0.787521,0.00139738,0.03425394
a030_s12_h12,0.3,1.2,1.2,FUGR-no-temporal,28.278203,0.787532,0.00141008,0.03425340
a020_s10_h16,0.2,1.6,1.0,FUGR-no-temporal,28.278133,0.787512,0.00139505,0.03425768
a025_s12_h12,0.25,1.2,1.2,FUGR-no-temporal,28.278132,0.787530,0.00140375,0.03425538
a030_s10_h12,0.3,1.2,1.0,FUGR-no-temporal,28.278132,0.787530,0.00140375,0.03425538
a025_s10_h12,0.25,1.2,1.0,FUGR-no-temporal,28.277625,0.787522,0.00139962,0.03425841
a015_s12_h16,0.15,1.6,1.2,FUGR-no-temporal,28.277607,0.787505,0.00139419,0.03425994
a020_s12_h12,0.2,1.2,1.2,FUGR-no-temporal,28.277474,0.787520,0.00139892,0.03425916
a030_s12_h16,0.3,1.6,1.2,FUGR-temporal,28.277307,0.787506,0.00139697,0.03426043
a025_s12_h16,0.25,1.6,1.2,FUGR-temporal,28.276746,0.787500,0.00139483,0.03426371
a030_s10_h16,0.3,1.6,1.0,FUGR-temporal,28.276746,0.787500,0.00139483,0.03426371
a020_s10_h12,0.2,1.2,1.0,FUGR-no-temporal,28.276711,0.787508,0.00139657,0.03426268
a015_s10_h16,0.15,1.6,1.0,FUGR-no-temporal,28.276656,0.787493,0.00139324,0.03426384
a030_s12_h12,0.3,1.2,1.2,FUGR-temporal,28.276587,0.787513,0.00139852,0.03426289
a015_s12_h12,0.15,1.2,1.2,FUGR-no-temporal,28.276232,0.787500,0.00139564,0.03426474
a025_s10_h16,0.25,1.6,1.0,FUGR-temporal,28.276027,0.787490,0.00139360,0.03426706
a025_s12_h12,0.25,1.2,1.2,FUGR-temporal,28.275984,0.787503,0.00139625,0.03426610
a030_s10_h12,0.3,1.2,1.0,FUGR-temporal,28.275984,0.787503,0.00139625,0.03426610
a020_s12_h16,0.2,1.6,1.2,FUGR-temporal,28.275856,0.787488,0.00139341,0.03426779
a015_s10_h12,0.15,1.2,1.0,FUGR-no-temporal,28.275391,0.787486,0.00139459,0.03426820
a025_s10_h12,0.25,1.2,1.0,FUGR-temporal,28.275280,0.787491,0.00139485,0.03426929
a020_s12_h12,0.2,1.2,1.2,FUGR-temporal,28.275117,0.787488,0.00139462,0.03426999
a020_s10_h16,0.2,1.6,1.0,FUGR-temporal,28.275079,0.787477,0.00139286,0.03427097
a015_s12_h16,0.15,1.6,1.2,FUGR-temporal,28.274635,0.787471,0.00139272,0.03427269
a020_s10_h12,0.2,1.2,1.0,FUGR-temporal,28.274391,0.787476,0.00139392,0.03427295
a015_s12_h12,0.15,1.2,1.2,FUGR-temporal,28.273984,0.787469,0.00139369,0.03427454
a015_s10_h16,0.15,1.6,1.0,FUGR-temporal,28.273902,0.787460,0.00139265,0.03427544
a015_s10_h12,0.15,1.2,1.0,FUGR-temporal,28.273318,0.787458,0.00139348,0.03427707
a020_s10_h12,0.2,1.2,1.0,RGB-Hybrid,28.273196,0.787398,0.00138977,0.03426971
a020_s12_h12,0.2,1.2,1.2,RGB-Hybrid,28.273196,0.787398,0.00138977,0.03426971
a025_s10_h12,0.25,1.2,1.0,RGB-Hybrid,28.272980,0.787385,0.00138987,0.03426701
a025_s12_h12,0.25,1.2,1.2,RGB-Hybrid,28.272980,0.787385,0.00138987,0.03426701
a020_s10_h16,0.2,1.6,1.0,RGB-Hybrid,28.272934,0.787398,0.00139016,0.03427137
a020_s12_h16,0.2,1.6,1.2,RGB-Hybrid,28.272934,0.787398,0.00139016,0.03427137
a015_s10_h12,0.15,1.2,1.0,RGB-Hybrid,28.272905,0.787405,0.00139024,0.03427357
a015_s12_h12,0.15,1.2,1.2,RGB-Hybrid,28.272905,0.787405,0.00139024,0.03427357
a025_s10_h16,0.25,1.6,1.0,RGB-Hybrid,28.272733,0.787386,0.00139028,0.03426884
a025_s12_h16,0.25,1.6,1.2,RGB-Hybrid,28.272733,0.787386,0.00139028,0.03426884
a015_s10_h16,0.15,1.6,1.0,RGB-Hybrid,28.272661,0.787404,0.00139059,0.03427496
a015_s12_h16,0.15,1.6,1.2,RGB-Hybrid,28.272661,0.787404,0.00139059,0.03427496
a030_s10_h12,0.3,1.2,1.0,RGB-Hybrid,28.272259,0.787366,0.00139051,0.03426549
a030_s12_h12,0.3,1.2,1.2,RGB-Hybrid,28.272259,0.787366,0.00139051,0.03426549
a030_s10_h16,0.3,1.6,1.0,RGB-Hybrid,28.272058,0.787368,0.00139091,0.03426739
a030_s12_h16,0.3,1.6,1.2,RGB-Hybrid,28.272058,0.787368,0.00139091,0.03426739
a015_s10_h12,0.15,1.2,1.0,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a015_s10_h16,0.15,1.6,1.0,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a015_s12_h12,0.15,1.2,1.2,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a015_s12_h16,0.15,1.6,1.2,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a020_s10_h12,0.2,1.2,1.0,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a020_s10_h16,0.2,1.6,1.0,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a020_s12_h12,0.2,1.2,1.2,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a020_s12_h16,0.2,1.6,1.2,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a025_s10_h12,0.25,1.2,1.0,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a025_s10_h16,0.25,1.6,1.0,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a025_s12_h12,0.25,1.2,1.2,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a025_s12_h16,0.25,1.6,1.2,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a030_s10_h12,0.3,1.2,1.0,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a030_s10_h16,0.3,1.6,1.0,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a030_s12_h12,0.3,1.2,1.2,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a030_s12_h16,0.3,1.6,1.2,BasicVSR,28.268999,0.787385,0.00139512,0.03429220
a015_s10_h12,0.15,1.2,1.0,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
a015_s10_h16,0.15,1.6,1.0,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
a015_s12_h12,0.15,1.2,1.2,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
a015_s12_h16,0.15,1.6,1.2,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
a020_s10_h12,0.2,1.2,1.0,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
a020_s10_h16,0.2,1.6,1.0,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
a020_s12_h12,0.2,1.2,1.2,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
a020_s12_h16,0.2,1.6,1.2,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
a025_s10_h12,0.25,1.2,1.0,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
a025_s10_h16,0.25,1.6,1.0,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
a025_s12_h12,0.25,1.2,1.2,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
a025_s12_h16,0.25,1.6,1.2,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
a030_s10_h12,0.3,1.2,1.0,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
a030_s10_h16,0.3,1.6,1.0,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
a030_s12_h12,0.3,1.2,1.2,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
a030_s12_h16,0.3,1.6,1.2,VSRGAN,24.934681,0.711046,0.00592446,0.04377234
